City,State,Country,Estimate (low),Estimate (high),Average
Abilene,TX,US,200,200,200
Accident,MD,US,54,54,54
Adak,AK,US,10,10,10
Adrian,MI,US,,,
Ajo,AZ,US,,,
Alamosa,CO,US,350,350,350
Albany,CA,US,,,
Albany,NY,US,7000,9000,8000
Albuquerque,NM,US,3000,20000,11500
Alpine,TX,US,96,96,96
Amarillo,TX,US,600,600,600
Amelia Island,FL,US,700,700,700
Anacortes,WA,US,,,
Anchorage,AK,US,2000,3000,2500
Ann Arbor,MI,US,11000,11000,11000
Annapolis,MD,US,1600,1600,1600
Arlington,VA,US,,,
Asbury Park,NJ,US,6000,6000,6000
Asheville,NC,US,7000,10000,8500
Ashland,OR,US,6000,6000,6000
Aspen,CO,US,1000,1000,1000
Astoria,OR,US,100,1000,550
Athens,GA,US,700,5000,2850
Atlanta,GA,US,60000,60000,60000
Augusta,GA,US,600,600,600
Augusta,ME,US,10000,10000,10000
Austin,TX,US,30000,50000,40000
Avalon,CA,US,44,44,44
Bainbridge Island,WA,US,,,
Baltimore,MD,US,5000,5000,5000
Bandon,OR,US,70,70,70
Barrow,AK,US,,,
Bayfield,WI,US,427,427,427
Beaumont,TX,US,300,300,300
Beaver,PA,US,,,
Bellingham,WA,US,5000,6000,5500
Bemidji,MN,US,250,500,375
Bend,OR,US,5000,5000,5000
Bentonville,AR,US,,,
Berkeley,CA,US,,,
Bethel,AK,US,,,
Bethlehem,PA,US,500,500,500
Bettendorf,IA,US,800,800,800
Beverly Hills,CA,US,,,
Binghamton,NY,US,2000,3000,2500
Birmingham,AL,US,5000,10000,7500
Bishop,CA,US,600,600,600
Bismarck,ND,US,500,500,500
Black Mountain,NC,US,400,400,400
Bluff,UT,US,,,
Bloomsburg,PA,US,,,
Boise,ID,US,5000,5000,5000
Borrego Springs,CA,US,,,
Boston,MA,US,175000,175000,175000
Bozeman,MT,US,,,
Breen,CO,US,1,1,1
Brighton,MI,US,300,300,300
Brattleboro,VT,US,250,250,250
Brookings,OR,US,,,
Brownsville,TX,US,300,300,300
Brunswick,ME,US,300,300,300
Buffalo,NY,US,2500,3000,2750
Burbank,CA,US,300,300,300
Burns,OR,US,20,20,20
Burnsville,NC,US,,,
Canton,NY,US,135,135,135
Carbondale,CO,US,200,650,425
Carbondale,IL,US,1000,1000,1000
Carmel,CA,US,,,
Casper,WY,US,700,1000,850
Cedaredge,CO,US,,,
Champaign,IL,US,5000,5000,5000
Charleston,SC,US,2000,2000,2000
Charleston,WV,US,3000,3000,3000
Charlotte,NC,US,10000,10000,10000
Charlottesville,VA,US,2500,2500,2500
Chattanooga,TN,US,1000,3000,2000
Chelan,WA,US,,,
Chesapeake Bay,MD,US,1,1,1
Cheyenne,WY,US,1500,2000,1750
Chicago,IL,US,250000,250000,250000
Chico,CA,US,3000,3000,3000
Chillicothe,OH,US,1000,1000,1000
Cincinnati,OH,US,5000,10000,7500
Clare,MI,US,24,24,24
Clemson,SC,US,500,500,500
Cleveland,OH,US,15000,15000,15000
Cobb,CA,US,2,2,2
Cobbleskill,NY,US,300,300,300
Cody,WY,US,500,500,500
College Station,TX,US,,,
Colorado Springs,CO,US,7000,7000,7000
Clumbia,MO,US,3000,3604,3302
Columbia,SC,US,2000,2000,2000
Columbus,OH,US,,,
Compton,CA,US,,,
Concord,NH,US,6000,6000,6000
Conover,WI,US,1,1,1
Cooperstown,NY,US,200,200,200
Coos Bay,OR,US,200,200,200
Copper Harbor,MI,US,19,19,19
Cordova,AK,US,,,
Corpus Christi,TX,US,24,24,24
Cortez,CO,US,400,504,452
Corvallis,OR,US,100,100,100
