location,crowd-low-estimate,crowd-high-estimate,mean-high-low,source,Latitude,Longitude
"Abilene, TX",200,200,200,http://www.reporternews.com/story/news/local/2017/01/21/hundreds-march-abilene-city-hall-womens-rights/96858224/,32.576489,-99.665323
"Accident, MD",54,54,54,Twitter; on-site witness ,39.6287,-79.31976
"Adak, AK",10,10,10,adn.com,0,0
"Adrian, MI",130,150,140,https://www.facebook.com/events/847360115406578/,41.889943,-84.065892
"Ajo, AZ",250,250,250,https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2Fwomenactnow%2Fposts%2F316622398732847&width=500,32.38489,-112.89011
"Alameda, CA",8,8,8,FB,37.770563,-122.264779
"Alamosa, CO",350,350,350,https://twitter.com/zepol/status/823234973935239172,37.479933,-105.790967
"Albany, CA",500,500,500,https://twitter.com/ben_silverman/status/823032391841132545,42.614852,-73.970812
"Albany, NY","7,000","9,000",8000,http://www.timesunion.com/local/article/Albany-activists-Inaugurate-Resistance-on-10873758.php,42.614852,-73.970812
"Alexandria, VA",17,17,17,https://twitter.com/TinaPStacy/status/823226044643680257,38.819853,-77.059645
"Albuquerque, NM","3,000","20,000",11500,http://www.koat.com/article/thousands-fill-civic-plaza-for-womens-rally/8626736,35.199592,-106.644831
"Almanor West, CA",4,4,4,eyewitness; picture,44.984663,-93.542233
"Alpine, TX",96,96,96,https://twitter.com/sarahmvasquez/status/823189717659176960,32.810624,-116.710667
"Amarillo, TX",600,600,600,https://www.texastribune.org/2017/01/21/thousands-expected-participate-texas-womens-marche/,35.20603,-101.839602
"Amelia Island, FL",700,"1,300",1000,http://www.firstcoastnews.com/news/womens-march-makes-its-way-to-the-first-coast/389706372,42.27179,-88.188464
"Anacortes, WA",,,,http://www.goskagit.com/skagit/hundreds-participate-in-anacortes-women-s-march/article_4117590e-285b-565e-acd0-1ea4e7826160.html,48.499172,-122.607111
"Anchorage, AK","2,000","3,000",2500,https://www.adn.com/alaska-news/2017/01/21/large-crowd-attends-womens-march-on-anchorage-in-solidarity-with-national-events/,61.220018,-149.855702
"Ann Arbor, MI","11,000","11,000",11000,http://www.mlive.com/news/ann-arbor/index.ssf/2017/01/more_than_6000_flood_streets_o.html,42.266638,-83.849042
"Annapolis, MD","1,600","1,600",1600,http://www.capitalgazette.com/news/annapolis/ph-ac-cn-annapolis-womens-march-0122-20170121-story.html,38.98775,-76.5528
"Arlington, VA",,,,,32.635563,-97.148829
"Asbury Park, NJ","6,000","6,000",6000,https://twitter.com/JuliaJHobbs/status/822955160116793344,40.250725,-74.048582
"Asheville, NC","7,000","10,000",8500,http://wlos.com/news/local/photo-gallery-the-womens-march-on-asheville,35.602711,-82.567281
"Ashland, OR","6,000",8000,7000,http://www.mailtribune.com/news/20170121/voices-from-crowd,38.473824,-82.647933
"Aspen, CO","1,000",1000,1000,https://twitter.com/SarahGoTrillIum/status/823018327316566016,39.169324,-106.776744
"Astoria, OR",100,1000,550,http://www.dailyastorian.com/Local_News/20170121/hundreds-march-in-astoria-to-counter-trump,46.142206,-123.795996
"Athens, GA",700,5000,2850,http://onlineathens.com/slideshow/2017-01-21/photos-athens-womens-march#slide-1,40.605382,-73.755133
"Atlanta, GA","60,000",63000,61500,http://www.ajc.com/news/state--regional-govt--politics/new-police-estimate-000-atlanta-the-march-continues-the-capitol/PlaULPX2mykkjcHk799zLP/,33.844371,-84.47405
"Augusta, GA",600,600,600,http://chronicle.augusta.com/news/2017-01-21/hundreds-participate-augusta-solidarity-march,44.351642,-69.803773
"Augusta, ME","10,000",10000,10000,http://bangordailynews.com/2017/01/21/news/state/marchers-flock-to-maine-cities-to-stand-up-to-trump/,44.351642,-69.803773
"Austin, TX","30,000","50,000",40000,"http://kut.org/post/tens-thousands-participate-womens-march-austin
",30.326374,-97.771258
"Avalon, CA",44,44,44,https://twitter.com/lisakate111/status/823018370094071808,33.34281,-118.32785
"Bainbridge Island, WA",,,,,47.647774,-122.538016
"Baltimore, MD","5,000",5000,5000,http://www.baltimoresun.com/news/maryland/bs-md-baltimore-sister-march-20170121-story.html,39.296536,-76.623489
"Bandon, OR",70,70,70,FB,34.485476,-92.585282
"Bayfield, WI",427,427,427,FB,37.22556,-107.59811
"Beaumont, TX",300,300,300,FB,30.073712,-94.109705
"Beaver, PA",100,130,115,onsite eyewitness; headcount,40.69534,-80.30478
"Bellingham, WA","5,000",6000,5500,https://t.co/iyjFHSXHEq,48.754092,-122.508129
"Bemidji, MN",250,500,375,http://www.mprnews.org/story/2017/01/21/photos-around-minnesota-women-and-men-march-for-womens-rights,47.571964,-94.801272
"Bend, OR","5,000","5,000",5000,http://www.ktvz.com/news/thousands-march-in-bend-to-protest-trump-policies/284779764,0,0
"Bentonville, AR",300,600,450,onsite eyewitness; headcount,36.347107,-94.223419
"Berkeley, CA",200,"1,000",600,http://www.dailycal.org/2017/01/21/berkeley-community-joins-millions-around-world-participating-womens-marches/,37.860576,-122.29673
"Bethel, AK",40,80,60,https://www.adn.com/slideshow/visual/2017/01/21/thousands-hit-the-streets-for-womens-march-events-in-alaska/,47.536048,-122.578944
"Bethlehem, PA",500,500,500,http://www.mcall.com/news/breaking/mc-women--march-20170121-story.html,40.58883,-75.351958
"Bettendorf, IA",800,800,800,http://www.ourquadcities.com/news/qc-equality-rally-packs-local-union-hall/643846922,41.52448,-90.51569
"Beverly Hills, CA",,,,,33.786594,-118.298662
"Binghamton, NY","2,000","3,000",2500,FB,42.165629,-75.890685
"Birmingham, AL","5,000",10000,7500,http://www.al.com/news/birmingham/index.ssf/2017/01/thousands_parade_through_birmi.html#incart_river_mobileshort_home,33.456412,-86.801904
"Bishop, CA",600,600,600,FB,37.491769,-118.389367
"Bismarck, ND",500,500,500,http://www.grandforksherald.com/news/4203619-larger-expected-nd-capitol-womens-march-calls-solidarity,46.816035,-100.700296
"Black Mountain, NC",400,400,400,FB,35.6179,-82.32123
"Bluff, UT",,,,,47.615471,-122.207221
"Bloomsburg, PA",40,60,50,https://twitter.com/MzHokie/status/823054470728810496,41.005609,-76.430563
"Boise, ID","5,000",5000,5000,http://www.idahostatesman.com/news/local/article127913309.html,34.146146,-86.146749
"Borrego Springs, CA",140,150,145,onsite eyewitness who did headcount,33.23943,-116.35607
"Boston, MA","175,000","175,000",175000,http://whdh.com/news/175000-rally-on-boston-common-for-womens-march/,42.370567,-71.026964
"Bozeman, MT",,,,https://twitter.com/MadamHerpadurp/status/823031787211235328,45.82641,-110.898799
"Breen, CO",1,1,1,via email (JP),40.605382,-73.755133
"Brighton, MI",300,300,300,Livingston Daily Press & Argus,39.942984,-104.786597
"Brattleboro, VT",250,250,250,FB,40.202113,-74.012581
"Brookings, OR",,,,,44.355091,-96.762102
"Brownsville, TX",300,390,345,http://www.brownsvilleherald.com/news/local/article_f670f8cc-e037-11e6-b9b5-9398a778b088.html,25.963264,-97.550453
"Brunswick, ME",300,300,300,Press Herald,41.23811,-81.8418
"Buffalo, NY","2,500","3,000",2750,http://www.wgrz.com/mb/news/local/hundreds-gather-in-buffalo-for-womens-march/389611887,42.89606,-78.886424
"Burbank, CA",300,300,300,myburbank.com,34.200993,-118.292773
"Burns, OR",20,20,20,FB,40.605382,-73.755133
"Burnsville, NC",,,,,25.963264,-97.550453
