id,text,source,created_at,place
8.23E+17,#WomensMarch Can someone send me a pussy-hat ? _Ù÷Ü_Ù_£_Ù÷Å‰÷_•üè,Twitter for iPhone,1/21/17 23:59,
8.23E+17,"_ÙÎüo melhor protesto da histÌ_ria que voce admira, aplaude e respeita_ÙÎü #WomensMarch https://t.co/E9CLDlw2UW",Twitter for iPhone,1/21/17 23:59,
8.23E+17,I thank God that we have each other! #WomensMarch #WomensMarchLA https://t.co/kHAFzwsFhG,Twitter for iPhone,1/21/17 23:59,
8.23E+17,#WomensMarch https://t.co/otODcBgLUO,Twitter for iPhone,1/21/17 23:59,
8.23E+17,#WomensMarch #imwithher https://t.co/wDspd2eN3p,Twitter for Android,1/21/17 23:59,
8.23E+17,Incredible world wide protest. unreal #Womensmarch,Twitter for iPad,1/21/17 23:59,
8.23E+17,"""MY BODY,MY CHOICE""""HER BODY,HER CHOICE"" #WomensMarch",Twitter for iPhone,1/21/17 23:59,
8.23E+17,"Reppin' for all the badass babes out there in the world._Ù_Ï_Ùè_‰_Á•üè_Ù___Ùè_#womensmarch #womxnsmarchseattle‰Û_ https://t.co/ed4M4b1hn6",Instagram,1/21/17 23:59,"Seattle, WA"
8.23E+17,#WomensMarch https://t.co/EB6bZ9zEl3,Twitter Web Client,1/21/17 23:59,
8.23E+17,Inspirational day today. #womensmarch https://t.co/LbYiFj0SsF,Twitter for iPhone,1/21/17 23:59,
8.23E+17,"‰Õö #cepostaperte‰Õä #MilanNapoli‰Õ_ #WomensMarch‰ÕÜ #Cavallidibattaglia‰ÕÎ #SonoInnocente2017/1/22 00:53 CET #trndnl https://t.co/1z2nx2qb8e",Tendenze Italia,1/21/17 23:59,"Rome, Lazio"
8.23E+17,"But mostly 4 my trans son's future rights. He's worried about the future, and I want to prove every day that I've got his back. #womensmarch",Twitter for Android,1/21/17 23:59,
8.23E+17,"_ÙÕÑ‰Ï_•üè womensmarch #womensmarch   -#Repost @eileenzfuentes‹ÄÈ‹ÄÈ‹ÄÈHealth is a human right ‰Ï__Ùè_‰Ï__Ùè_‰Ï__ÙèÀ‰Ï__Ùè_‰Ï__ÙèÈ‰Û_ https://t.co/mHRkBPPJOn",Instagram,1/21/17 23:59,
8.23E+17,#WomensMarch https://t.co/TqWOcGi9ww,Twitter for iPhone,1/21/17 23:59,
8.23E+17,#feminism #amerikkka #makeamericawhiteagain #ignorance #Trump #WomensMarch https://t.co/D9ZEgR89qO,Tweetbot for iëÙS,1/21/17 23:59,
8.23E+17,"Got called in to work earlier, but home now eating biscuits catching up on the awesome #WomensMarch pictures _ÙÕ_",Twitter for iPhone,1/21/17 23:59,
8.23E+17,#WomensMarch... x. #talaraassi  https://t.co/XEq7nVvnlo,Twitter Web Client,1/21/17 23:59,
